adverse_event,report_count
WOUND INFECTION,1514
NEUROTOXICITY,1508
GASTRITIS,1507
MOOD SWINGS,1506
DEVICE ADHESION ISSUE,1505
SPINAL OPERATION,1504
AUTISM SPECTRUM DISORDER,1503
PRESCRIBED UNDERDOSE,1502
HAEMOPTYSIS,1494
GENERALISED TONIC-CLONIC SEIZURE,1482
SCIATICA,1477
AGEUSIA,1476
METASTASES TO LIVER,1468
DIABETIC KETOACIDOSIS,1467
ACUTE RESPIRATORY FAILURE,1466
JOINT RANGE OF MOTION DECREASED,1464
AGRANULOCYTOSIS,1464
INJECTION SITE DISCHARGE,1461
SINUS DISORDER,1455
BURSITIS,1454
PROTEINURIA,1454
CYTOPENIA,1447
NEOPLASM PROGRESSION,1437
MIDDLE INSOMNIA,1437
ABDOMINAL PAIN LOWER,1435
PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,1432
PALLOR,1430
OBESITY,1428
CRYING,1422
ENCEPHALOPATHY,1419
KIDNEY INFECTION,1415
HEAD DISCOMFORT,1415
ANGER,1412
MENTAL IMPAIRMENT,1408
HYPOCALCAEMIA,1407
HIDRADENITIS,1405
INABILITY TO AFFORD MEDICATION,1399
PREMATURE BABY,1395
MUSCLE INJURY,1393
MYOCARDITIS,1391
RETCHING,1389
BONE DENSITY DECREASED,1388
RIB FRACTURE,1386
REBOUND ECZEMA,1385
ADRENAL INSUFFICIENCY,1376
INFUSION SITE ERYTHEMA,1366
PAIN IN JAW,1365
OCULAR DISCOMFORT,1363
HIP ARTHROPLASTY,1358
EAR PAIN,1353
SEROTONIN SYNDROME,1350
FEMUR FRACTURE,1347
BLOOD BILIRUBIN INCREASED,1346
UVEITIS,1345
AUTOIMMUNE DISORDER,1343
PROSTATE CANCER,1336
CHOKING,1330
IMMUNE EFFECTOR CELL-ASSOCIATED NEUROTOXICITY SYNDROME,1326
BLOOD CREATINE PHOSPHOKINASE INCREASED,1324
POOR VENOUS ACCESS,1324
BLOOD PRESSURE FLUCTUATION,1324
DRUG ERUPTION,1323
ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY POSITIVE,1323
CARDIOGENIC SHOCK,1319
CHOLESTASIS,1309
PAIN OF SKIN,1307
DRUG WITHDRAWAL SYNDROME,1306
LIP DRY,1301
HAEMORRHOIDS,1300
ANGINA PECTORIS,1299
RESPIRATORY TRACT CONGESTION,1298
ACUTE HEPATIC FAILURE,1287
CEREBRAL INFARCTION,1286
EOSINOPHILIA,1286
CYTOMEGALOVIRUS INFECTION,1282
SECRETION DISCHARGE,1280
HAEMATEMESIS,1265
TRANSAMINASES INCREASED,1265
GLOMERULAR FILTRATION RATE DECREASED,1264
EATING DISORDER,1262
ACUTE MYOCARDIAL INFARCTION,1258
ABNORMAL BEHAVIOUR,1256
HAEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,1255
LEUKOCYTOSIS,1247
METASTASES TO CENTRAL NERVOUS SYSTEM,1246
TUBULOINTERSTITIAL NEPHRITIS,1245
NASAL POLYPS,1240
NEURODERMATITIS,1239
SCRATCH,1236
DISABILITY,1235
NERVOUS SYSTEM DISORDER,1228
GLAUCOMA,1224
