adverse_event,report_count
SYSTEMIC LUPUS ERYTHEMATOSUS DISEASE ACTIVITY INDEX ABNORMAL,2
SYSTEMIC LEAKAGE,2
THYROID NODULE REMOVAL,2
PATHOLOGIC MYOPIA,2
MONOCLONAL IMMUNOGLOBULIN,2
CEREBRAL REPERFUSION INJURY,2
PATHOLOGICAL TOOTH FRACTURE,2
CEREBRAL VENTRICLE COLLAPSE,2
SYPHILIS TEST FALSE POSITIVE,2
BLOOD UREA,2
BLOOD THROMBOPLASTIN INCREASED,2
DEVICE LEAD ISSUE,2
NASAL NEOPLASM BENIGN,2
BLADDER PAPILLOMA,2
TRICUSPID VALVE THROMBOSIS,2
CUTIBACTERIUM TEST POSITIVE,2
CUTIS LAXA,2
BLADDER NECROSIS,2
TRIGEMINAL NERVE PARESIS,2
CYCLOPLEGIA,2
MEDICATION CRYSTALS IN URINE PRESENT,2
BLADDER CATHETER REMOVAL,2
CYP2D6 POLYMORPHISM,2
SMEAR SITE UNSPECIFIED ABNORMAL,2
BLADDER CANCER STAGE III,2
BLADDER CANCER STAGE II,2
CYSTADENOCARCINOMA OVARY,2
CYSTATIN C ABNORMAL,2
SMALL INTESTINE GANGRENE,2
TRISOMY 12,2
BLADDER CALCULUS REMOVAL,2
CYSTITIS GLANDULARIS,2
TRISOMY 16,2
CYSTITIS-LIKE SYMPTOM,2
CYSTOCELE REPAIR,2
SMALL INTESTINAL POLYPECTOMY,2
BLADDER AGENESIS,2
CYSTOSTOMY,2
CYTOKERATIN 19 INCREASED,2
NASAL SINUS CANCER,2
SOCIAL STAY HOSPITALISATION,2
CUTANEOUS EXTRAMEDULLARY HAEMOPOIESIS,2
BLOOD THROMBOPLASTIN DECREASED,2
TRICUSPID VALVE PROLAPSE,2
TRAUMATIC SPINAL CORD COMPRESSION,2
BLINDNESS DAY,2
SPERMATOGENESIS ABNORMAL,2
MENINGEAL THICKENING,2
CROWNED DENS SYNDROME,2
CRUSH INJURY,2
CRYOGLOBULINS PRESENT,2
PERINATAL HIV INFECTION,2
CSF GLUCOSE ABNORMAL,2
NASAL CAVITY PACKING,2
TREPONEMA TEST POSITIVE,2
CSF GLUCOSE INCREASED,2
CSF IMMUNOGLOBULIN INCREASED,2
CSF LYMPHOCYTE COUNT INCREASED,2
NASAL IRRIGATION,2
BLASTIC PLASMACYTOID DENDRITIC CELL NEOPLASIA,2
SOMATOSENSORY EVOKED POTENTIALS,2
MELATONIN DEFICIENCY,2
SOMATIC PAIN,2
PANCREATITIS BACTERIAL,2
CULTURE NEGATIVE,2
TRICHOSTASIS SPINULOSA,2
MEGAKARYOCYTES INCREASED,2
TRICUSPID VALVE CALCIFICATION,2
CULTURE WOUND POSITIVE,2
CUTANEOUS ANTHRAX,2
SOFT TISSUE EXCISION,2
CYTOMEGALOVIRUS PANCREATITIS,2
CYTOMEGALOVIRUS URINARY TRACT INFECTION,2
CYTOREDUCTIVE SURGERY,2
DACRYOCYSTORHINOSTOMY,2
DENTAL DYSAESTHESIA,2
BIOPSY STOMACH,2
DENTAL PROSTHESIS REMOVAL,2
MEDICAL DEVICE SITE FISTULA,2
DEOXYPYRIDINOLINE URINE INCREASED,2
BIOPSY PROSTATE,2
PERIORBITAL INJURY,2
DEPRESSION POSTOPERATIVE,2
MEDICAL DEVICE SITE DISCOLOURATION,2
SKIN MALFORMATION,2
DERMABRASION,2
DERMATOFIBROSARCOMA PROTUBERANS METASTATIC,2
MEDICAL DEVICE REPOSITIONING,2
BIOPSY LUNG ABNORMAL,2
BIOPSY LIP,2
BIOPSY INTESTINE ABNORMAL,2
DESMOPLASTIC MESOTHELIOMA,2
BIOPSY ENDOMETRIUM,2
DETACHED DESCEMET^S MEMBRANE,2
DEVICE DATA ISSUE,2
SKIN GRAFT FAILURE,2
SKIN GRAFT DETACHMENT,2
BIOPSY COLON ABNORMAL,2
SKIN FLAP NECROSIS,2
NECROSIS OF ARTERY,2
BIOPSY BONE,2
DEVICE INVERSION,2
BIOPSY STOMACH ABNORMAL,2
DENGUE VIRUS TEST POSITIVE,2
PERIORBITAL FAT HERNIATION,2
NASOPHARYNGEAL CANCER METASTATIC,2
TROPONIN C INCREASED,2
BIZARRE PERSONAL APPEARANCE,2
SLOW VITAL CAPACITY,2
DAWN PHENOMENON,2
DEAFNESS TRAUMATIC,2
TROPONIN I DECREASED,2
DECORTICATE POSTURE,2
NASOGASTRIC OUTPUT ABNORMAL,2
DECREASED NASOLABIAL FOLD,2
PANCREATIC PSEUDOANEURYSM,2
FOETAL URINARY TRACT DILATATION,2
DEGENERATIVE MITRAL VALVE DISEASE,2
DEGENERATIVE TRICUSPID VALVE DISEASE,2
TUBERCULOSIS OF PERIPHERAL LYMPH NODES,2
BIOTIN DEFICIENCY,2
DELAYED FOETAL RENAL DEVELOPMENT,2
DELAYED FOLLICULAR RIPENING,2
BIOPSY VULVA ABNORMAL,2
BIOPSY UTERUS ABNORMAL,2
DELAYED PLATELET ENGRAFTMENT,2
DELAYED VISUAL MATURATION,2
MEDICAL DEVICE SITE JOINT DISCOMFORT,2
BIOPSY THYROID GLAND ABNORMAL,2
DELUSION OF THEFT,2
TUBERCULOSIS OF EYE,2
BIOPSY THYROID GLAND,2
SPERMATOZOA PROGRESSIVE MOTILITY ABNORMAL,2
PERIHEPATIC ABSCESS,2
CRONKHITE-CANADA SYNDROME,2
TRANSDIFFERENTIATION OF NEOPLASM,2
SQUAMOUS CELL CARCINOMA OF PHARYNX,2
CONGENITAL NOSE MALFORMATION,2
SQUAMOUS CELL BREAST CARCINOMA,2
CONGENITAL ORAL MALFORMATION,2
CONGENITAL PHARYNGEAL ANOMALY,2
CONGENITAL PNEUMONIA,2
MYXOMA,2
SPUTUM CULTURE,2
CONGENITAL PULMONARY VALVE ATRESIA,2
MESOBLASTIC NEPHROMA,2
PEPTOSTREPTOCOCCUS TEST POSITIVE,2
PAPILLARY UROTHELIAL NEOPLASM OF LOW MALIGNANT POTENTIAL,2
PERENNIAL ALLERGY,2
CONGENITAL SYPHILITIC OSTEOCHONDRITIS,2
BLOOD INSULIN,2
TRACHEOBRONCHOMEGALY,2
CONGENITAL TOXOPLASMOSIS,2
BLOOD IMMUNOGLOBULIN E,2
MESENTERIC THICKENING,2
MESENTERIC FIBROSIS,2
BLOOD HIV RNA FLUCTUATION,2
SPLENORENAL SHUNT,2
MESENTERIC ARTERY ANEURYSM,2
BLOOD GONADOTROPHIN INCREASED,2
CONGENITAL WHITE BLOOD CELL DISORDER,2
CONJUNCTIVAL GRANULOMA,2
PAPILLARY MUSCLE DISORDER,2
BLOOD METHAEMOGLOBIN PRESENT,2
METABOLIC CARDIOMYOPATHY,2
CONGENITAL MYASTHENIC SYNDROME,2
STATUS DYSTONICUS,2
CONGENITAL APLASTIC ANAEMIA,2
PENILE ODOUR,2
CONGENITAL AURAL FISTULA,2
METASTASES TO GALLBLADDER,2
PENILE PROSTHESIS INSERTION,2
BLOOD SODIUM,2
CONGENITAL DYSKERATOSIS,2
CONGENITAL EYELID MALFORMATION,2
MYOPLASTY,2
METAPLASTIC BREAST CARCINOMA,2
PARADOXICAL INSOMNIA,2
CONGENITAL GENITOURINARY ABNORMALITY,2
MYOSITIS-LIKE SYNDROME,2
CONGENITAL MUSCULOSKELETAL DISORDER OF HEAD AND NECK,2
TRACE ELEMENT DEFICIENCY,2
PARACUSIS,2
TRACHEAL BRONCHUS,2
STAPHYLOMA,2
TRACHEAL CALCIFICATION,2
BLOOD PRESSURE MANAGEMENT,2
PARACHUTE MITRAL VALVE,2
STAPHYLOCOCCAL OSTEOMYELITIS,2
STAPHYLOCOCCAL MEDIASTINITIS,2
STAPHYLOCOCCAL IMPETIGO,2
CONGENITAL KNEE DEFORMITY,2
CONGENITAL LARGE INTESTINAL ATRESIA,2
BLOOD GLUCAGON DECREASED,2
BLOOD GASTRIN INCREASED,2
BLINDNESS TRAUMATIC,2
BLOOD GASES,2
PANTOEA AGGLOMERANS INFECTION,2
TRANSMISSION OF AN INFECTIOUS AGENT VIA TRANSPLANT,2
CORNEAL PIGMENTATION,2
BLOOD CARBON MONOXIDE DECREASED,2
PERICARDIAL RUB,2
CORONARY ARTERY REOCCLUSION,2
CORONARY ARTERY SURGERY,2
BLOOD CARBON MONOXIDE ABNORMAL,2
CORONARY VASCULAR GRAFT OCCLUSION,2
BLOOD CANNABINOIDS,2
SPINAL EMPYEMA,2
BLOOD CALCITONIN ABNORMAL,2
TRANSSPHENOIDAL SURGERY,2
TRANSVALVULAR PRESSURE GRADIENT,2
CORTICAL LAMINAR NECROSIS,2
SPINAL CORD INJURY SACRAL,2
PERICARDITIS MYCOPLASMAL,2
PERICARDITIS RHEUMATIC,2
BLOOD ALUMINIUM INCREASED,2
CRANIECTOMY,2
CRANIOFACIAL INJURY,2
CRANIOPHARYNGIOMA,2
TRAUMATIC LUMBAR PUNCTURE,2
CREATINE URINE DECREASED,2
SPIGELIAN HERNIA,2
BLOOD ALBUMIN,2
NARCISSISTIC PERSONALITY DISORDER,2
BLOOD CHLORIDE,2
SPINAL RADIOTHERAPY,2
TRANSITIONAL CELL CANCER OF THE RENAL PELVIS AND URETER LOCALISED,2
CONTACT LENS INTOLERANCE,2
CONJUNCTIVAL PAPILLAE,2
NAEVUS FLAMMEUS,2
CONJUNCTIVAL SUFFUSION,2
CONJUNCTIVAL TELANGIECTASIA,2
CONJUNCTIVAL ULCER,2
SPLENIC GRANULOMA,2
CONJUNCTIVALISATION,2
PERICARDIAL EXCISION,2
CONSTIPATION NEONATAL,2
SPLEEN TUBERCULOSIS,2
BLOOD DONATION,2
MENISCUS CYST,2
CONTRACEPTIVE DIAPHRAGM,2
SPINAL ROD REMOVAL,2
SPLEEN CONGESTION,2
BLOOD CREATINE PHOSPHOKINASE MB DECREASED,2
SPINAL X-RAY ABNORMAL,2
SPINAL VASCULAR DISORDER,2
CORD BLOOD TRANSPLANT THERAPY,2
CORE DECOMPRESSION,2
SPINAL SUBDURAL HAEMORRHAGE,2
CORNEAL BLEEDING,2
SPINAL SUBARACHNOID HAEMORRHAGE,2
BLOOD COBALT INCREASED,2
SPINAL STABILISATION,2
PERICARDIAL MASS,2
FOETAL NON-STRESS TEST ABNORMAL,2
CARDIAC MALPOSITION,2
LYMPH NODES SCAN ABNORMAL,2
HETERONYMOUS DIPLOPIA,2
PSEUDOHYPERKALAEMIA,2
PSEUDOENDOPHTHALMITIS,2
PSEUDODEMENTIA,2
HERNIAL EVENTRATION,2
HERPES PHARYNGITIS,2
ALLERGIC GASTROENTERITIS,2
LATENT SYPHILIS,2
ALLERGIC COLITIS,2
HERPES SIMPLEX VIRUS URETHRITIS,2
HERPES ZOSTER IMMUNISATION,2
ALGOPHOBIA,2
ALEXANDER DISEASE,2
VITREOUS HAEMATOMA,2
HIATUS HERNIA STRANGULATED,2
HIGH GRADE B-CELL LYMPHOMA BURKITT-LIKE LYMPHOMA STAGE IV,2
VISION CORRECTION OPERATION,2
PROTHROMBIN LEVEL ABNORMAL,2
ALCOHOLIC PSYCHOSIS,2
HIGH GRADE B-CELL LYMPHOMA REFRACTORY,2
HISTIOCYTIC NECROTISING LYMPHADENITIS,2
HISTOLOGY ABNORMAL,2
OCULAR DYSMETRIA,2
VISUAL FIELD TESTS ABNORMAL,2
PROTEIN TOTAL,2
HEREDITARY NEUROPATHY WITH LIABILITY TO PRESSURE PALSIES,2
LECLERCIA BACTERAEMIA,2
ALLERGIC STOMATITIS,2
HEREDITARY HYPOPHOSPHATAEMIC RICKETS,2
VICTIM OF ELDER ABUSE,2
HEPATITIS E VIRUS TEST POSITIVE,2
LEPTIN LEVEL INCREASED,2
LEPTIN LEVEL DECREASED,2
OS TRIGONUM,2
HEPATOBILIARY DISORDER PROPHYLAXIS,2
LENS CAPSULOTOMY,2
VIRAL CORNEAL ULCER,2
ALPHA 1 GLOBULIN DECREASED,2
LEIOMYOSARCOMA RECURRENT,2
ALPHA 1 GLOBULIN ABNORMAL,2
ORTHOSTATIC TACHYCARDIA,2
ALLOIMMUNE HEPATITIS,2
HER2 LOW BREAST CANCER,2
ALLOIMMUNE HAEMOLYTIC ANAEMIA,2
PSEUDOPARALYSIS,2
ALLERGY TO FERMENTED PRODUCTS,2
HER2 POSITIVE SALIVARY GLAND CANCER,2
PSEUDOMONAS BRONCHITIS,2
PSEUDOMONAL SKIN INFECTION,2
ALLERGY TO DENTAL MATERIAL,2
ALLERGY ALERT TEST POSITIVE,2
VIRAL RHINITIS,2
PROTEIN S DEFICIENCY,2
PROTEIN S DECREASED,2
ALAGILLE SYNDROME,2
VITAMIN B2 DEFICIENCY,2
HYDROCELE OPERATION,2
ADRENOCORTICAL CARCINOMA,2
OROPHARYNGEAL FISTULA,2
ADRENAL CALCIFICATION,2
OESOPHAGEAL ADENOCARCINOMA STAGE IV,2
ADMINISTRATION SITE VESICLES,2
PROLYMPHOCYTIC LEUKAEMIA,2
PROLONGED RUPTURE OF MEMBRANES,2
PROLONGED PREGNANCY,2
LARGE CELL LUNG CANCER METASTATIC,2
OROPHARYNGEAL CANCER STAGE IV,2
HYPERCATABOLISM,2
ADMINISTRATION SITE URTICARIA,2
HYPERCHROMASIA,2
LARGE CELL LUNG CANCER,2
HYPERFIBRINOLYSIS,2
ADMINISTRATION SITE ULCER,2
PNEUMONIA SALMONELLA,2
PROGRESSIVE MYOCLONIC EPILEPSY,2
LACTASE DEFICIENCY,2
ADMINISTRATION SITE PLAQUE,2
ADMINISTRATION SITE NERVE DAMAGE,2
ADMINISTRATION SITE NECROSIS,2
OCULOCEPHALOGYRIC REFLEX ABSENT,2
PROSTATE SARCOMA,2
PROTEIN C INCREASED,2
LARYNGEAL GRANULOMA,2
PNEUMONIA BORDETELLA,2
HLA MARKER STUDY POSITIVE,2
PROTEIN ALBUMIN RATIO DECREASED,2
PROTEIN ALBUMIN RATIO,2
OCULAR STEM CELL TRANSPLANT,2
HLA-B*1502 ASSAY POSITIVE,2
VISUAL TRACKING TEST ABNORMAL,2
OROPHARYNGEAL SCAR,2
PROSTHETIC CARDIAC VALVE FAILURE,2
OCULOCARDIAC REFLEX,2
HODGKIN^S DISEASE STAGE II,2
PROSTATITIS TUBERCULOUS,2
PROSTATITIS ESCHERICHIA COLI,2
HORMONE RECEPTOR NEGATIVE HER2 POSITIVE BREAST CANCER,2
AICARDI-GOUTIERES SYNDROME,2
AGONAL RHYTHM,2
AGLOSSIA,2
AFRICAN TRYPANOSOMIASIS,2
PROSTATIC CYST,2
AFFECTIVE AMBIVALENCE,2
HUMAN CHORIONIC GONADOTROPIN ABNORMAL,2
LARYNGEAL HYPERTROPHY,2
HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR INCREASED,2
PSYCHOPATHIC PERSONALITY,2
PSYCHOPHYSIOLOGIC INSOMNIA,2
PSYCHOTHERAPY,2
LIP HAEMATOMA,2
ANASTOMOTIC INFECTION,2
ANASTOMOTIC EROSION,2
HAEMOGLOBINAEMIA,2
ANAPLASTIC MENINGIOMA,2
LIP AND/OR ORAL CAVITY CANCER RECURRENT,2
PUNCTURE SITE DISCHARGE,2
PUNCTURE SITE CELLULITIS,2
HAEMOLYSIS NEONATAL,2
HAEMOLYTIC TRANSFUSION REACTION,2
ANAPLASTIC LARGE CELL LYMPHOMA T- AND NULL-CELL TYPES STAGE IV,2
ANAPHYLAXIS TREATMENT,2
HAEMOPHILIC PSEUDOTUMOUR,2
VENTRICULAR DRAINAGE,2
ANAMNESTIC REACTION,2
ANALGESIC DRUG LEVEL THERAPEUTIC,2
HAEMORRHAGE NEONATAL,2
ANAL SPHINCTEROTOMY,2
HAEMORRHAGIC FEVER,2
ANAL FISTULA REPAIR,2
PULMONARY VALVE STENOSIS CONGENITAL,2
HAEMORRHAGIC VARICELLA SYNDROME,2
PLATELET ENGRAFTMENT FAILURE,2
PLATELET FUNCTION TEST ABNORMAL,2
PLATELET DESTRUCTION INCREASED,2
VENOUS PRESSURE INCREASED,2
PULMONARY TUBERCULOMA,2
HAEMATOCOELE,2
GLUTEOPLASTY,2
VASOPROLIFERATIVE RETINAL TUMOUR,2
NONINFECTIVE BRONCHITIS,2
ANGIOSCLEROSIS,2
VEIN OF GALEN ANEURYSMAL MALFORMATION,2
PLASMA VISCOSITY ABNORMAL,2
PYOMETRA,2
VENA CAVA INJURY,2
LIPECTOMY,2
LIPASE,2
VENOMOUS STING,2
GRAFT HAEMORRHAGE,2
GRANULICATELLA BACTERAEMIA,2
ANGIOFIBROMA,2
GRANULOMATOUS ROSACEA,2
GREENSTICK FRACTURE,2
NONINFECTIVE RETINITIS,2
GYNAECOLOGICAL EXAMINATION ABNORMAL,2
HABIT COUGH,2
HAEMANGIOMA RUPTURE,2
LIP OPERATION,2
PUPILLARY DEFORMITY,2
PUPILLARY BLOCK,2
"HALLUCINATION, GUSTATORY",2
HAND AMPUTATION,2
HEPATITIS C RNA POSITIVE,2
LEUKAEMIC INFILTRATION PULMONARY,2
LEUKAEMIC INFILTRATION HEPATIC,2
LEUKAEMIA GRANULOCYTIC,2
PULMONARY ARTERY THERAPEUTIC PROCEDURE,2
PULMONARY ARTERY STENT INSERTION,2
OBSESSIVE RUMINATION,2
AMNIOTIC MEMBRANE GRAFT,2
VESSEL PUNCTURE SITE DISCOLOURATION,2
PULMONARY ARTERY CATHETERISATION,2
VESSEL PUNCTURE SITE ERYTHEMA,2
HEPATIC STEATO-FIBROSIS,2
HEPATIC VASCULAR FISTULA,2
PULMONARY ARTERIAL WEDGE PRESSURE DECREASED,2
HEPATIC VEIN EMBOLISM,2
VESSEL PUNCTURE SITE INFLAMMATION,2
HEPATITIS A VIRUS TEST POSITIVE,2
PULMONARY ABLATION,2
HEPATITIS B CORE ANTIGEN POSITIVE,2
LESER-TRELAT SIGN,2
LEPTOTRICHIA INFECTION,2
PTPN11 GENE MUTATION,2
ALVEOLAR RHABDOMYOSARCOMA,2
HEPATITIS C CORE ANTIBODY POSITIVE,2
VIBRIO VULNIFICUS INFECTION,2
NYHA CLASSIFICATION,2
PLEURAL CYST,2
NOTALGIA PARAESTHETICA,2
HEPATIC CANDIDIASIS,2
ANAL DILATION PROCEDURE,2
ANAL CANDIDIASIS,2
ANAL CANCER STAGE III,2
NOTHING BY MOUTH ORDER,2
VERTEBRAL ARTERY HYPOPLASIA,2
VERTEBRAL ARTERY PERFORATION,2
VERTEBRAL ARTERY STENOSIS,2
VERTEBRAL END PLATE INFLAMMATION,2
HEALTHCARE-ASSOCIATED INFECTION,2
PLATYPNOEA,2
OSTEOCALCIN INCREASED,2
LEUKOERYTHROBLASTIC ANAEMIA,2
PULMONARY INFLAMMATORY PSEUDOTUMOUR,2
HEART TRANSPLANT FAILURE,2
LEUKOCYTE VACUOLISATION,2
PLESIOMONAS SHIGELLOIDES INFECTION,2
VERTEBROBASILAR DOLICHOECTASIA,2
LEUKAEMIC LYMPHOMA,2
LEUKAEMIC INFILTRATION RENAL,2
HEPARIN-INDUCED THROMBOCYTOPENIA TEST POSITIVE,2
AMYLOIDOMA,2
VERTIGO CNS ORIGIN,2
PULMONARY ECHINOCOCCIASIS,2
LACRIMAL GLAND OPERATION,2
HYPERMAGNESURIA,2
QUALITY OF LIFE SCALE,2
ORAL MUCOSAL HYPERTROPHY,2
ACQUIRED AMINOACIDURIA,2
INFUSION SITE LACERATION,2
INFUSION SITE LYMPHADENOPATHY,2
INFUSION SITE MOBILITY DECREASED,2
PRADER-WILLI SYNDROME,2
POWASSAN VIRUS ENCEPHALITIS,2
INJECTION SITE DYSAESTHESIA,2
POTASSIUM HYDROXIDE PREPARATION POSITIVE,2
ISCHAEMIC SKIN ULCER,2
INJECTION SITE ISCHAEMIA,2
ACHENBACH SYNDROME,2
WOUND CONTAMINATION,2
LACRIMAL DUCT PROCEDURE,2
INJECTION SITE JOINT INFLAMMATION,2
POSTPARTUM VENOUS THROMBOSIS,2
ACCESSORY MUSCLE,2
INJECTION SITE LYMPHADENOPATHY,2
ACCESSORY BREAST,2
INJECTION SITE TELANGIECTASIA,2
INNER EAR INFARCTION,2
POOR WEIGHT GAIN NEONATAL,2
POSTOPERATIVE RESPIRATORY FAILURE,2
ACANTHOMA,2
POSTOPERATIVE RENAL FAILURE,2
JAW FISTULA,2
ACQUIRED ARTERIOVENOUS MALFORMATION,2
INFUSION SITE EXFOLIATION,2
INFUSION SITE EROSION,2
OLIGODENDROGLIOMA,2
ACQUIRED SYRINGOMYELIA,2
INFECTED LYMPHOCELE,2
ACQUIRED PIGMENTED RETINOPATHY,2
PRENATAL SCREENING TEST ABNORMAL,2
PRENATAL SCREENING TEST,2
INFECTED VARICOSE VEIN,2
OMENTAL NECROSIS,2
INFECTION-INDUCED SEROCONVERSION,2
JOINT FISTULA,2
ACQUIRED HYPOCALCIURIC HYPERCALCAEMIA,2
ACQUIRED HYPERTROPHY OF THE RETINAL PIGMENT EPITHELIUM,2
INFECTIVE THROMBOSIS,2
INFECTIVE UVEITIS,2
INFERIOR VENA CAVA SYNDROME,2
INFERIORITY COMPLEX,2
INFLAMMATION MASKED,2
INFLAMMATION OF LACRIMAL PASSAGE,2
PREGNANCY WITH ADVANCED MATERNAL AGE,2
ACQUIRED DYSFIBRINOGENAEMIA,2
ACQUIRED CYSTIC KIDNEY DISEASE,2
ORAL PAPULE,2
OOCYTE HARVEST,2
OPHTHALMIC FLUID-AIR EXCHANGE PROCEDURE,2
INSTILLATION SITE DISCOMFORT,2
INSTILLATION SITE DRYNESS,2
XANTHOMATOSIS,2
INTRA-CEREBRAL ANEURYSM OPERATION,2
INTRACRANIAL GERM CELL TUMOUR,2
ORAL FIBROMA,2
IRON BINDING CAPACITY UNSATURATED INCREASED,2
ABDOMINAL EXPLORATION,2
IRON BINDING CAPACITY TOTAL ABNORMAL,2
PORTAL VEIN CAVERNOUS TRANSFORMATION,2
XIITH NERVE INJURY,2
INTRAOCULAR HAEMATOMA,2
PORTAL VEIN EMBOLISM,2
PORTAL VEIN PHLEBITIS,2
5-HYDROXYINDOLACETIC ACID,2
INTRAVENOUS LEIOMYOMATOSIS,2
INTRAVITREAL IMPLANT,2
POST EMBOLISATION SYNDROME,2
22Q11.2 DELETION SYNDROME,2
INVASIVE PNEUMOCOCCAL DISEASE,2
PORTAL VEIN PRESSURE INCREASED,2
POST ANGIOPLASTY RESTENOSIS,2
ZHU-TOKITA-TAKENOUCHI-KIM SYNDROME,2
ZIKA VIRUS INFECTION,2
IRIS ATROPHY,2
PORTOPULMONARY HYPERTENSION,2
OPTIC NERVE NEOPLASM,2
POST PROCEDURAL PERSISTENT DRAIN FLUID,2
ABSTAINS FROM ALCOHOL,2
X-RAY WITH CONTRAST UPPER GASTROINTESTINAL TRACT,2
INSTILLATION SITE INFECTION,2
INSTILLATION SITE REACTION,2
ABSCESS OF SALIVARY GLAND,2
OPHTHALMOLOGICAL EXAMINATION,2
INSULIN C-PEPTIDE ABNORMAL,2
ABORTION INDUCED INCOMPLETE,2
ABORTION COMPLETE,2
POSTICTAL HEADACHE,2
INTERCEPTED ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,2
WRITER^S CRAMP,2
WRONG DEVICE,2
POSTERIOR CAPSULE RUPTURE,2
ABNORMAL LABOUR AFFECTING FOETUS,2
OPTIC DISC VASCULAR DISORDER,2
ABNORMAL DNA METHYLATION,2
INTERNAL CAPSULE INFARCTION,2
INTERNAL CAROTID ARTERY DEFORMITY,2
INTERNAL LIMITING MEMBRANE PEELING,2
INTERNATIONAL NORMALISED RATIO,2
ABERRANT MOTOR BEHAVIOUR,2
ISCHAEMIC DEMYELINATION,2
INTESTINAL ANGINA,2
OPTIC NERVE CUP/DISC RATIO INCREASED,2
JOINT NEOPLASM,2
INFECTED ACROCHORDON,2
INFANTILE CORTICAL HYPEROSTOSIS,2
LABIA ENLARGED,2
HYPOPARATHYROIDISM SECONDARY,2
HYPOPHONESIS,2
HYPOPITUITARISM FOETAL,2
HYPOTHALAMIC ENLARGEMENT,2
HYPOTHYROIDIC GOITRE,2
HYPOVENTILATION NEONATAL,2
ADENOVIRAL UPPER RESPIRATORY INFECTION,2
ICHTHYOSIS ACQUIRED,2
ICTERUS INDEX INCREASED,2
IDIOPATHIC ENVIRONMENTAL INTOLERANCE,2
ADENOVIRAL CONJUNCTIVITIS,2
VOLVULUS REPAIR,2
ILEOCAECAL VALVE LIPOMA,2
ILEOCOLOSTOMY,2
ILIAC ARTERY ARTERIOSCLEROSIS,2
KMT2A GENE MUTATION,2
OESOPHAGOGASTROSCOPY ABNORMAL,2
ILIAC VEIN STENOSIS,2
KLINEFELTER^S SYNDROME,2
IMMATURE GRANULOCYTE COUNT,2
ORBITAL SPACE OCCUPYING LESION,2
KLEPTOMANIA,2
IMMUNE-MEDIATED POLYSEROSITIS,2
POCKET EROSION,2
HYPONATRAEMIC COMA,2
IMMUNOGLOBULIN THERAPY,2
LABORATORY TEST NORMAL,2
VITREOUS INJURY,2
VITREOUS LOSS,2
OESOPHAGEAL MANOMETRY,2
VITREOUS PROLAPSE,2
OROFACIAL GRANULOMATOSIS,2
OESOPHAGEAL MUCOSA ERYTHEMA,2
PNEUMORETROPERITONEUM,2
HYPERTENSIVE CARDIOMYOPATHY,2
HYPERTENSIVE CEREBROVASCULAR DISEASE,2
HYPERTENSIVE END-ORGAN DAMAGE,2
HYPERTROPHIC ANAL PAPILLA,2
VOCAL CORD ERYTHEMA,2
LABOUR AUGMENTATION,2
HYPERVITAMINOSIS B12,2
HYPERVITAMINOSIS D,2
HYPNIC HEADACHE,2
ADMINISTRATION SITE CYST,2
HYPOCALCIURIA,2
HYPOCARNITINAEMIA,2
PNH CLONE INCREASED,2
HYPOFERRITINAEMIA,2
OESOPHAGEAL MUCOSAL TEAR,2
OESOPHAGEAL SQUAMOUS CELL CARCINOMA RECURRENT,2
IMMUNOCHEMOTHERAPY,2
VULVAL CANCER RECURRENT,2
OLIGOASTHENOZOOSPERMIA,2
INADEQUATE HAEMODIALYSIS,2
INADEQUATE OSTEOINTEGRATION,2
ORBITAL DECOMPRESSION,2
ACUTE AORTIC SYNDROME,2
INCARCERATED PARASTOMAL HERNIA,2
PRIMARY SYPHILIS,2
WALDENSTROM^S MACROGLOBULINAEMIA RECURRENT,2
ACTINIC ELASTOSIS,2
ACTINIC CHEILITIS,2
INCISION SITE OEDEMA,2
JUNCTIONAL ECTOPIC TACHYCARDIA,2
INCISIONAL HERNIA REPAIR,2
POLYMICROGYRIA,2
PRIMARY HYPERCHOLESTEROLAEMIA,2
WALLERIAN DEGENERATION,2
PRIMARY HEADACHE ASSOCIATED WITH SEXUAL ACTIVITY,2
WANDERING PACEMAKER,2
INCOMPLETE SPINAL FUSION,2
POLYMORPHIC ERUPTION OF PREGNANCY,2
JUGULAR VEIN HAEMORRHAGE,2
INCREASED INTRAPERITONEAL VOLUME,2
INCREASED STEROID ACTIVITY,2
PRIDE SYNDROME,2
ACRODERMATITIS ENTEROPATHICA,2
ACUTE GRAFT VERSUS HOST DISEASE IN EYE,2
INADEQUATE ASEPTIC TECHNIQUE IN MANUFACTURING OF PRODUCT,2
VULVAL ECZEMA,2
ACUTE HAEMORRHAGIC CONJUNCTIVITIS,2
VULVAL HAEMATOMA,2
KIDNEY PERFORATION,2
VULVAL NEOPLASM,2
IMPLANT SITE HYPERSENSITIVITY,2
VULVAR BASAL CELL CARCINOMA,2
IMPLANT SITE INDURATION,2
POLYCYTHAEMIA NEONATORUM,2
IMPLANT SITE MASS,2
PROCTOSCOPY ABNORMAL,2
PROCTOSCOPY,2
PROCTOPARALYSIS,2
IMPLANT SITE OEDEMA,2
PROCTITIS BACTERIAL,2
ACUTE PAINFUL NEUROPATHY OF RAPID GLYCAEMIC CONTROL,2
VULVOVAGINAL DISORDER,2
